Dimensionality/Training words,24M,49M,98M,196M,391M,783M
50,13.4,15.7,18.6,19.1,22.5,23.2
100,19.4,23.1,27.8,28.7,33.4,32.2
300,23.2,29.2,35.3,38.6,43.7,45.9
600,24.0,30.1,36.5,40.8,46.6,50.4
